source,date,uka_code,code,site,pm10,pm10_capture,pm2.5,pm2.5_capture,latitude,longitude,site_type
aurn,2015-02-01T00:00:00Z,UKA00529,CHS7,Chesterfield Roadside,21.127197,0.897321,13.067,0.892857,53.231751,-1.456928,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00211,CLL2,London Bloomsbury,20.860612,0.778274,16.265774,0.778274,51.52229,-0.125889,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00592,COAL,Coventry Allesley,NA,NA,14.823735,0.852679,52.411628,-1.560189,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00343,DERY,Derry,24.311776,0.745536,21.593522,0.735119,55.001225,-7.329115,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00591,EA8,Ealing Horn Lane,20.87234,0.06994,NA,NA,51.51895,-0.265617,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00535,EAGL,Stockton-on-Tees Eaglescliffe,15.766732,0.97619,11.287289,0.988095,54.516667,-1.358547,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00546,EB,Eastbourne,19.82806,0.997024,NA,NA,50.805778,0.271611,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00339,ECCL,Salford Eccles,20.585714,1,13.364286,1,53.48481,-2.334139,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00454,ED3,Edinburgh St Leonards,12.350443,0.96131,7.586656,0.947917,55.945589,-3.182186,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00602,GHSR,Glasgow High Street,19.647068,0.964286,11.890093,0.96131,55.860936,-4.238214,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00576,GLKP,Glasgow Townhead,19.733871,0.46131,8.979377,0.764881,55.865782,-4.243631,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00420,GRAN,Grangemouth,13.18477,0.991071,10.528701,0.985119,56.010319,-3.704399,Urban Industrial
aurn,2015-02-01T00:00:00Z,UKA00047,HAR,Harwell,16.018957,0.855655,11.194828,0.863095,51.571078,-1.325283,Rural Background
aurn,2015-02-01T00:00:00Z,UKA00260,HG1,Haringey Roadside,NA,NA,18.852605,0.599702,51.5993,-0.068218,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00525,HOPE,Stanford-le-Hope Roadside,17.665049,0.919643,9.767747,0.918155,51.518167,0.439548,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00540,HR3,London Harrow Stanmore,NA,NA,13.36102,0.904762,51.617333,-0.298777,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00472,HRL,London Harlington,18.930579,0.796131,13.539828,0.796131,51.48879,-0.441614,Urban Industrial
aurn,2015-02-01T00:00:00Z,UKA00450,HUL2,Hull Freetown,NA,NA,13.890569,0.915179,53.748779999999996,-0.341222,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00600,HULR,Hull Holderness Road,21.265964,0.988095,NA,NA,53.759013,-0.305678,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00253,KC1,London N. Kensington,22.150822,0.995536,15.057069,0.863095,51.52105,-0.213419,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00265,LEAM,Leamington Spa,19.332619,0.903274,18.592397,0.900298,52.28881,-1.533119,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00564,LEAR,Leamington Spa Rugby Road,19.581373,0.910714,15.403506,0.891369,52.294884,-1.542911,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00573,LECU,Leicester University,NA,NA,15.745485,0.889881,52.619904,-1.127182,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00527,LED6,Leeds Headingley Kerbside,27.71227,0.970238,8.910667,0.446429,53.819972,-1.576361,Urban Traffic
aurn,2015-02-01T00:00:00Z,UKA00222,LEED,Leeds Centre,20.65,0.997024,13.336607,1,53.80378,-1.546472,Urban Background
aurn,2015-02-01T00:00:00Z,UKA00166,LN,Lough Navar,6.328952,0.78125,NA,NA,54.43951,-7.900328,Rural Background
aurn,2015-02-01T00:00:00Z,UKA00247,LVP,Liverpool Speke,15.21503,1,11.388955,0.997024,53.34633,-2.8443329999999998,Urban Industrial
